event_id,order_id,customer_id,date_sk,event_type,event_timestamp,payment_value,lifecycle_step
bc9c9970-1a8e-4d93-98e6-cc9dec9c79d5,3463fea4-98bc-4525-88f2-a21c8c6e2929,c954e976-2068-4d37-8853-af33b6957cf9,20251104,order_created,2025-11-04 19:13:01.854371 UTC,0,1
c026fcbe-ce65-4b2e-b86b-8060db03c8b5,28599e0e-1a21-4ac6-8cce-ecfc0490dde3,68a0659f-8649-4778-8034-3a311e343b16,20251104,order_created,2025-11-04 21:29:32.887269 UTC,0,1
f39b4c4a-f745-4884-8ffd-7678b3b45113,c8f72e85-64f7-490a-a8b7-52a214d90f56,bdbc1f4d-9572-4cdb-b0aa-d3468be26b22,20251104,order_created,2025-11-04 21:28:55.595322 UTC,0,1
1de8abb3-a7d9-4c90-8a07-000144d0ca41,dd575c78-df50-403f-be00-a9bfb878f492,bdfd1768-9225-469b-aacd-6138d592ea9c,20251104,order_created,2025-11-04 19:32:39.494053 UTC,0,1
5e0444c1-2a1d-4ef9-80f2-8c227e675856,5a88591a-87dd-422f-9ba1-01747ce9a58e,214590f7-c2ff-46fb-b83c-f9498bb7d814,20251104,order_created,2025-11-04 20:21:57.050346 UTC,0,1
bcadd35d-0578-44ac-99ad-f841d1a5cb05,a430fb21-7793-4ed0-94ad-e680120ce574,3b525b88-0253-463d-bace-4cfebfcc54e7,20251104,order_created,2025-11-04 23:33:52.666408 UTC,0,1
9c2bae9b-ff3d-43f0-a874-d819f12f6645,1c0c86ff-313f-4035-89f4-b8a08d515bb5,68df0d82-f849-4617-a331-9615a0af0451,20251104,order_created,2025-11-04 22:42:21.884467 UTC,0,1
f17cf98b-16b1-41c3-a576-a27c86ce7a79,d13422c5-fe22-45a2-b21c-5c1b74d4c6e2,7904d4f9-90cd-46cb-b20c-9eef80f55566,20251104,order_created,2025-11-04 20:33:29.95818 UTC,0,1
476a807b-7b6a-4463-ab43-12f5ba1d8947,0266f32c-822a-44c7-9e96-70b4bc4f7410,efb63c8b-cb44-474b-9227-7d127d27b14f,20251104,order_created,2025-11-04 18:34:07.041204 UTC,0,1
aa80ba73-0861-4b12-93c0-35f0066a2e7c,81f05968-dafb-41a6-8994-f14834a9f4af,ce2e2961-2e38-4584-81e5-20c27848b4e5,20251104,order_created,2025-11-04 19:37:07.395141 UTC,0,1
26c1d1e3-64d7-4c11-9035-ec317cca2c80,ddf95b25-c274-4f17-9586-a1ea271bb086,5f5b4073-1c26-4c25-a346-4a03a84a5d8a,20251104,order_created,2025-11-04 21:36:19.79584 UTC,0,1
ae80337f-7e06-4155-90d3-a00bbeec54e2,eac240d8-413f-4f84-a8f1-afc91e68cccd,f948d485-ebd9-461a-a6ba-513d9669ece0,20251104,order_created,2025-11-04 23:36:51.392889 UTC,0,1
63392f2b-47f8-43a1-9ba1-bec0543cbb9c,ba6f1386-a040-46d8-833d-a70d6b120083,22e5c03d-28ce-41f7-94b8-03465afd4484,20251104,order_created,2025-11-04 19:34:10.916844 UTC,0,1
472d9d52-d537-4ee2-92ad-a26468c4e8d1,35230d02-e2ab-4447-b581-104723b40622,f4b7d7cb-c872-40ae-8da9-b387240f4004,20251104,order_created,2025-11-04 20:31:59.605535 UTC,0,1
2bdf1d77-4048-4997-a875-8918a5e54fff,a9fd029d-1a33-4a5e-b1e6-c54efc23f07c,ec9c9065-b2bc-4c51-94fe-cbc87ee4e282,20251104,order_created,2025-11-04 20:30:50.204139 UTC,0,1
aba458e0-1d9c-4c4e-a16b-2198a28c1ddb,482d82db-660f-429b-87f1-668b853a17a9,e1960d81-3771-4a05-bece-68acccb14656,20251104,order_created,2025-11-04 21:44:44.295856 UTC,0,1
3787ecdc-bed8-4ee8-a838-09a2d941d428,ee6fd37f-7a5b-493c-a13f-6bd88074d059,09fb3b75-2032-49ee-b95e-4472371e4466,20251104,order_created,2025-11-04 19:36:55.414879 UTC,0,1
